市区町村名,市区町村コード,経済指標,製造品,小売,卸売,農業,従業者,事業所,課税所得,財政力
北海道 札幌市,01100,48.4,40.1,54.1,44.6,28.5,57.1,62.6,49.1,50.9
北海道 函館市,01202,41.3,40,43.7,43.8,34.5,39.2,41.2,46.4,41.2
北海道 小樽市,01203,38.3,41.1,41.1,41.7,31.1,35.8,33.1,44.3,38.3
北海道 旭川市,01204,43,39.6,43.8,43.8,44.3,44,43.7,48.4,36.7
北海道 室蘭市,01205,38.2,48.5,36.8,41.9,36.7,30.8,31.5,46.6,32.2
北海道 釧路市,01206,44.2,39.7,39.8,43.4,78.9,37.5,38.7,45.9,29.5
北海道 帯広市,01207,52.6,47,47.3,48.3,78.9,48.7,55.4,49.9,45.3
北海道 北見市,01208,51.4,52.8,48.4,45.7,64.9,45.7,51.3,50.1,52
北海道 夕張市,01209,33.5,40.7,32.4,40.3,53.1,20,20,33,28.4
北海道 岩見沢市,01210,45,50.9,46.2,43.4,46.5,43.2,45.1,43.3,41.2
北海道 網走市,01211,49,46.8,46.6,43.4,80,41.8,43,48.4,41.9
北海道 留萌市,01212,37.8,36.4,38.9,46,34.1,30.7,33.9,46.8,35.5
北海道 苫小牧市,01213,50.8,52.2,49.9,48.9,65.2,53.5,61.6,48.5,26.5
北海道 稚内市,01214,45.9,38.8,46.7,44.9,80,32.9,34.5,47.2,42.4
北海道 美唄市,01215,41.4,40.9,39.2,41,43.7,36.7,33.2,44.7,51.8
北海道 芦別市,01216,35.9,41.8,34.6,41.1,39.3,25.5,26.1,39.9,38.8
北海道 江別市,01217,54.2,46,59,54.7,43.2,70.1,73.4,44.4,42.8
北海道 赤平市,01218,36.1,51.2,35.9,40.7,36.5,25.5,24.7,38.7,35.6
北海道 紋別市,01219,47.1,41.3,43.3,45.8,71.6,38.1,42.6,48.7,45.2
北海道 士別市,01220,45.7,38.8,43,46.4,58.8,33.8,38.1,51,56
北海道 名寄市,01221,45.3,40.9,43.6,42.9,57.8,37.1,41.7,51.6,46.5
北海道 三笠市,01222,39.6,49.9,39.8,49.1,43.2,25.9,26.6,40.7,41.4
北海道 根室市,01223,46,38.1,41.9,45.2,80,35.1,40.5,52.4,34.4
北海道 千歳市,01224,62.9,62.4,67.8,52.6,80,63.8,65,52.2,59.6
北海道 滝川市,01225,40.7,37.8,43.5,42.1,36.5,37.3,41,46,41.9
北海道 砂川市,01226,42.1,43,44,45.8,49.1,37.6,37.6,47.1,32.5
北海道 歌志内市,01227,38.4,35.8,31.6,55.9,73.2,21.4,20,36,33.3
北海道 深川市,01228,37.9,38.8,38.5,43,43.9,32.2,28.7,45.6,32.7
北海道 富良野市,01229,50.2,43.1,44.6,43.2,77.1,45.2,43.3,47.7,57.8
北海道 登別市,01230,49.7,37.3,53.3,46.4,80,45.2,48.1,46.2,41.3
北海道 恵庭市,01231,62.3,64.1,55.2,79.1,51.1,67.9,67.7,50.9,62.2
北海道 伊達市,01233,48.9,40.5,49.4,44.7,59.5,53.1,55.8,46.2,42.3
北海道 北広島市,01234,63.1,53.3,80,80,43.6,80,80,43.6,44.5
北海道 石狩市,01235,70.4,80,80,80,49,80,80,44.5,69.9
北海道 北斗市,01236,60.1,39.5,79.3,80,42.3,68.1,74,46.1,51.1
北海道 当別町,01303,51.8,80,42.8,43.3,50.5,54.1,44.6,45.6,53.1
北海道 新篠津村,01304,41.5,39.3,34.8,42,50.2,58.9,31.8,37.8,36.8
北海道 松前町,01331,41.1,40.3,41.2,39.8,39.1,33.2,29.3,56.3,49.6
北海道 福島町,01332,43.7,38.5,38.7,57.3,76,27.2,32.9,52.5,26.5
北海道 知内町,01333,50.9,56.1,43.4,40.6,52.1,49.3,43.1,47.9,74.8
北海道 木古内町,01334,40,37.6,39.8,40.3,47.3,33.5,36.6,49.3,35.5
北海道 七飯町,01337,60.2,75.7,61.2,59.8,59.1,69.1,80,41.8,34.7
北海道 鹿部町,01343,51.4,56.1,38.2,80,80,50.2,41.8,38.2,26.5
北海道 森町,01345,50.6,52.4,45.6,70.6,80,40.6,35.8,47.4,32.7
北海道 八雲町,01346,51.3,53.7,51.3,49.9,74.4,39.7,36.6,52.1,52.4
北海道 長万部町,01347,40.8,52.3,39,42.4,61.4,28.2,30,42,31
北海道 江差町,01361,40.8,36.1,40.8,42.2,33.5,37.6,38.9,50.1,47.5
北海道 上ノ国町,01362,41.7,40.3,48.8,47.4,29.7,33,33.7,53.9,46.9
北海道 厚沢部町,01363,44.6,40.7,44.3,42,58.4,39.4,33.7,51.3,46.6
北海道 乙部町,01364,47.6,38,39.1,80,57.1,32.8,30.8,52.1,50.8
北海道 奥尻町,01367,48.1,35.4,43.5,40,49.5,54.8,42.4,57.7,61.6
北海道 今金町,01370,41.9,36.1,42.1,49.3,57.3,36.5,29.5,44.6,40
北海道 せたな町,01371,42.1,34.4,39.6,48.6,50.9,34.4,31.5,45.8,51.3
北海道 島牧村,01391,40.8,40.1,41.1,42,38.6,37.6,32.7,55.2,39.3
北海道 寿都町,01392,37.1,39.3,38,41.5,30.6,30.5,26.9,47.8,42.6
北海道 黒松内町,01393,49.2,72.7,44.4,49.3,73.9,37.9,34.5,47.9,33.3
北海道 蘭越町,01394,38.4,33.7,37.9,46.6,42.5,38.2,34,42.3,32.1
北海道 ニセコ町,01395,48.3,37,40.5,61.3,48.9,52,56.8,42.4,47.3
北海道 真狩村,01396,43.4,39.9,34,40.3,80,34.5,31.8,44.5,42.5
北海道 留寿都村,01397,54.9,45.4,34.4,40.9,80,80,52,37.2,69.8
北海道 喜茂別町,01398,36.2,36.1,41,41.7,42,27.5,27.3,39.3,35.1
北海道 京極町,01399,47,42.2,47.8,43.4,68.1,50.7,46,40.8,37
北海道 倶知安町,01400,48,48.6,48.7,41.8,63,39.1,43.3,46.4,53.6
北海道 共和町,01401,53.4,41.9,41.9,43,53.5,62.7,56.7,47.7,80
北海道 岩内町,01402,37.5,38.4,37.5,41,31.5,29.8,26.6,50.6,44.7
北海道 泊村,01403,49.6,43.3,43,42,20,71.5,35.3,62,80
北海道 神恵内村,01404,47.1,51.8,39.7,42,36.5,38.4,36.1,71.8,60.5
北海道 積丹町,01405,43.2,37,38.1,75.8,52.2,26.7,25.6,48.4,41.6
北海道 古平町,01406,41.6,43.9,38.3,49.3,46.5,38.7,33.2,47.4,35.2
北海道 仁木町,01407,47.3,80,42.8,43,49.2,41.4,38.6,46.7,36.8
北海道 余市町,01408,41.9,36.3,46.6,45.9,40.4,40,37.6,46.3,41.9
